ID,Street Sign,Street Address,Sign Condition,Number of Tiles Damaged,Grout Condition,Type of Wall,Building Occupant,Title Owner on Builder,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5
76,Camino Del Bayona,"906 Toulouse St, New Orleans, LA 70112, USA",,,,,Multi Use,"Zoma, LLC",,,,,
100,Avda D' La Explanada,"906 Esplanade Ave, New Orleans, LA 70116, USA",Falling Apart,10,Bad Condition,Brick with Stucco,Multi Fam (Possibly Unauthentic),(Possibly Unauthentic),Inventory_Images/100.Photo 1.160814.jpg,Inventory_Images/100.Photo 2.185706.jpg,Inventory_Images/100.Photo 3.161009.jpg,Inventory_Images/100.Photo 4.185706.jpg,Inventory_Images/100.Photo 5.185706.jpg
101,Calle D'Bourbon,"1350 Bourbon St, New Orleans, LA 70116, USA",Falling Apart,13,Bad Condition,Brick,Beauregard House,,Inventory_Images/101.Photo 1.161607.jpg,Inventory_Images/101.Photo 2.161607.jpg,Inventory_Images/101.Photo 3.161643.jpg,,
102,Calle Del Cuartel,"1301 Royal St, New Orleans, LA 70116, USA",Faded/Cracked Polish,9,Bad Condition,Masonry,Flora Savage Shop,,Inventory_Images/102.Photo 1.164500.jpg,Inventory_Images/102.Photo 2.164500.jpg,,,
103,Calle D'Bourbon,"1228 Bourbon St, New Orleans, LA 70116, USA",Falling Apart,18,Bad Condition,Brick,Multi Family,,Inventory_Images/103.Photo 1.165016.jpg,Inventory_Images/103.Photo 2.165016.jpg,Inventory_Images/103.Photo 3.165016.jpg,,
104,Calle Real,"214 Royal St, New Orleans, LA 70130, USA",Faded/Cracked Polish,18,Good Condition,Brick with Stucco,The carousel bar & lounge/hotel monteleone,,Inventory_Images/104.Photo 1.174849.jpg,Inventory_Images/104.Photo 2.174849.jpg,Inventory_Images/104.Photo 3.174849.jpg,,
105,Calle D La Auduana,"214 Royal St, New Orleans, LA 70130, USA",Faded/Cracked Polish,12,,Brick with Stucco,Hôtel monteleone/the carousel bar & lounge,,Inventory_Images/105.Photo 1.175044.jpg,Inventory_Images/105.Photo 2.175044.jpg,,,
106,Calle D'Conti,"1007 Decatur St, New Orleans, LA 70116, USA",Falling Apart,18,,Brick,It's all about new Orleans & Jazz,,Inventory_Images/106.Photo 1.180735.jpg,Inventory_Images/106.Photo 2.180735.jpg,Inventory_Images/106.Photo 3.180735.jpg,,
107,Camino Real Muelle,"619 Decatur St, New Orleans, LA 70130, USA",Graffiti,8,Bad Condition,Masonry with Stucco,Walgreens,,Inventory_Images/107.Photo 1.181608.jpg,Inventory_Images/107.Photo 2.181608.jpg,,,
108,Calle D'Santa Ana,"Louisiana State Museum, 751 Chartres St, New Orleans, LA 70130, USA",Falling Apart,18,Bad Condition,Masonry with Stucco,Louisiana State Museum,,Inventory_Images/108.Photo 1.182617.jpg,Inventory_Images/108.Photo 2.182617.jpg,Inventory_Images/108.Photo 3.182617.jpg,,
109,Calle D'Conde,"839 Chartres St, New Orleans, LA 70116, USA",Faded/Cracked Polish,18,Bad Condition,Brick,Odaomo,,Inventory_Images/109.Photo 1.183312.jpg,Inventory_Images/109.Photo 2.183314.jpg,Inventory_Images/109.Photo 3.183314.jpg,,
110,Calle D'Conde,"903 Chartres St, New Orleans, LA 70116, USA",Falling Apart,18,Bad Condition,Brick,Deurty Boys,,Inventory_Images/110.Photo 1.183508.jpg,Inventory_Images/110.Photo 2.183508.jpg,Inventory_Images/110.Photo 3.183508.jpg,,
200,Calle D'Bourbon,"1028 Bourbon St, New Orleans, LA 70116, USA",Faded/Cracked Polish,6,Good Condition,Brick,Multi family,,Inventory_Images/200.Photo 1.193320.jpg,Inventory_Images/200.Photo 2.193320.jpg,Inventory_Images/200.Photo 3.193320.jpg,,
202,Calle D'Conde,"1001 Chartres St, New Orleans, LA 70116, USA",Faded/Cracked Polish,12,Bad Condition,Masonry with Stucco,Hôtel château,,Inventory_Images/202.Photo 1.201935.jpg,Inventory_Images/202.Photo 2.201935.jpg,Inventory_Images/202.Photo 3.201935.jpg,,
203,Calle D'Chartres,"620 Chartres St, New Orleans, LA 70116, USA",Faded/Cracked Polish,11,,Brick with Stucco,Doris metropolitan,,Inventory_Images/203.Photo 1.204319.jpg,Inventory_Images/203.Photo 2.204319.jpg,Inventory_Images/203.Photo 3.204319.jpg,,
205,Calle Del Tolosa,"540 Chartres St, New Orleans, LA 70130",Good Condition,10,,Brick,Chartres House Bar,,Inventory_Images/205.Photo 1.204918.jpg,Inventory_Images/205.Photo 2.204918.jpg,Inventory_Images/205.Photo 3.204918.jpg,,
206,Calle D'Chartres,"621 St Louis St, New Orleans, LA 70130, USA",Falling Apart,18,Bad Condition,Brick with Stucco,Omni hotel,,Inventory_Images/206.Photo 1.205255.jpg,Inventory_Images/206.Photo 2.205255.jpg,Inventory_Images/206.Photo 3.205255.jpg,,
207,Calle D'Chartres,"328 Chartres St, New Orleans, LA 70130, USA",Falling Apart,18,,Brick with Stucco,Vacant,"Fix me later, next door is 326 chartres",Inventory_Images/207.Photo 1.210133.jpg,Inventory_Images/207.Photo 2.210133.jpg,Inventory_Images/207.Photo 3.210133.jpg,,
210,Plaza D'Armas,"Jackson Square, New Orleans, LA 70116, USA",Faded/Cracked Polish,18,,,The sign is missing,,,,,,
