ID,Street Sign,Street Address,Sign Condition,Number of Tiles Damaged,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,latitude,longitude
57,Calle D'Orleans,"901 Orleans St, New Orleans, LA 70116",Good Condition,0,Inventory_Images/57.Photo 1.134641.jpg,Inventory_Images/57.Photo 2.134641.jpg,Inventory_Images/57.Photo 3.134640.jpg,,,29.9596548,-90.066229
60,Calle D'Orleans,"717 Royal St, New Orleans, LA 70116",Fair Condition,10,Inventory_Images/60.Photo 1.200222.jpg,Inventory_Images/60.Photo 2.200223.jpg,Inventory_Images/60.Photo 3.200222.jpg,,,29.958391,-90.064495
61,Calle Real,"621 St Louis St, New Orleans, LA 70130",No Ruiz de Luna Signature; Possible Non-Spanish Copy,0,Inventory_Images/61.Photo 1.140127.jpg,Inventory_Images/61.Photo 2.140127.jpg,Inventory_Images/61.Photo 3.140127.jpg,,,29.95630885,-90.06568766
62,Calle D'San Pedro,"701 Chartres St, New Orleans, LA 70116",Faded/Cracked Polish,4,Inventory_Images/62.Photo 1.135006.jpg,Inventory_Images/62.Photo 2.135006.jpg,Inventory_Images/62.Photo 3.135006.jpg,,,29.957671,-90.06381206
63,Calle D'San Pedro,"701 Royal St, New Orleans, LA 70116",No Ruiz de Luna Signature; Possible Non-Spanish Copy,9,Inventory_Images/63.Photo 1.135022.jpg,Inventory_Images/63.Photo 2.135022.jpg,,,,29.958131,-90.06473
64,Calle D'San Pedro,"935 St Peter, New Orleans, LA 70116",Falling Apart,18,Inventory_Images/64.Photo 1.135045.jpg,Inventory_Images/64.Photo 2.135045.jpg,,,,29.9597521,-90.0673119
65,Calle D'San Pedro,"1005 St Peter, New Orleans, LA 70116",Good Condition,0,Inventory_Images/65.Photo 1.135059.jpg,Inventory_Images/65.Photo 2.135059.jpg,,,,29.9599411,-90.0674861
66,Calle D'Conti,"1001 Conti St, New Orleans, LA 70112",Faded/Cracked Polish,0,Inventory_Images/66.Photo 1.195259.jpg,Inventory_Images/66.Photo 2.195259.jpg,Inventory_Images/66.Photo 3.195259.jpg,,,29.957634,-90.06958
67,Calle D'San Luis,"1000 St Louis St, New Orleans, LA 70112",Falling Apart,14,Inventory_Images/67.Photo 1.134901.jpg,Inventory_Images/67.Photo 2.134901.jpg,Inventory_Images/67.Photo 3.134901.jpg,,,29.9581928,-90.0691474
68,Calle D'Bourbon,"440 Bourbon St, New Orleans, LA 70130",Faded/Cracked Polish,6,Inventory_Images/68.Photo 1.134317.jpg,Inventory_Images/68.Photo 2.134317.jpg,,,,29.9565318,-90.06735492
